epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.68814,1.69445,5.85911,1.85762,0.32109,0.35294,0.34083,0.17099,1.54132,11.4612,1.6496,0.0002,0.0002,0.0002
2,10.554,1.15556,2.44756,1.35481,0.57338,0.63306,0.55854,0.37595,1.09682,5.91325,1.21645,0.000411684,0.000411684,0.000411684
3,12.8991,1.22691,1.5093,1.35773,0.66576,0.64706,0.67763,0.4505,1.18145,4.2102,1.41945,0.000614656,0.000614656,0.000614656
4,15.2867,1.14502,1.29609,1.31708,0.73072,0.63898,0.66187,0.23765,1.80472,5.48298,2.46144,0.000808916,0.000808916,0.000808916
5,17.6395,1.27491,1.32798,1.40392,0.50278,0.52941,0.49265,0.29024,1.34769,6.32191,1.82588,0.000994464,0.000994464,0.000994464
6,20.0913,1.22901,1.23416,1.4239,0.4475,0.52941,0.47461,0.25723,1.50605,5.93665,2.21618,0.0011713,0.0011713,0.0011713
7,22.3218,1.25719,1.02249,1.40975,0.3,0.17647,0.13185,0.06568,1.86375,28.4372,2.77778,0.00133942,0.00133942,0.00133942
8,24.5646,1.25661,1.07065,1.41738,0.22502,0.76471,0.41353,0.2349,1.49461,19.0309,2.50028,0.00149884,0.00149884,0.00149884
9,26.7853,1.17673,0.97908,1.34575,0.0625,0.17647,0.03421,0.01551,1.85604,40.0208,2.50455,0.00164954,0.00164954,0.00164954
10,28.9714,1.21918,0.99188,1.39985,0.01283,0.05882,0.00271,0.00041,3.8863,6.14557,17.9329,0.0016436,0.0016436,0.0016436
11,31.1765,1.20079,0.91689,1.34478,0.00751,0.17647,0.00355,0.0012,nan,nan,nan,0.001604,0.001604,0.001604
12,33.4439,1.16678,0.93562,1.32677,0.0399,0.11765,0.00608,0.00135,nan,nan,nan,0.0015644,0.0015644,0.0015644
13,35.6307,1.17763,0.90457,1.34455,0.47428,0.41176,0.37154,0.21366,1.48179,4.6038,1.81583,0.0015248,0.0015248,0.0015248
14,37.9113,1.14706,0.91032,1.31687,0.61498,0.88235,0.75607,0.5081,1.05652,3.68158,1.51661,0.0014852,0.0014852,0.0014852
15,40.1197,1.11365,0.80452,1.3075,0.33513,0.76471,0.43022,0.26276,1.17091,4.16993,1.74258,0.0014456,0.0014456,0.0014456
16,42.2953,1.08747,0.78185,1.28673,0.6823,0.82353,0.86549,0.54552,1.26798,5.29632,1.76653,0.001406,0.001406,0.001406
17,44.5544,1.06762,0.74352,1.29313,0.78711,0.88235,0.90288,0.53273,1.21868,3.6291,1.5942,0.0013664,0.0013664,0.0013664
18,46.7956,1.1054,0.75439,1.25798,0.83183,0.82353,0.90063,0.60123,1.05055,2.03653,1.40738,0.0013268,0.0013268,0.0013268
19,49.0805,1.03607,0.74601,1.24326,0.96604,0.88235,0.94484,0.63154,1.14724,1.34042,1.51078,0.0012872,0.0012872,0.0012872
20,51.329,1.05927,0.73942,1.30001,0.94163,0.88235,0.98397,0.7187,0.95155,1.01153,1.2918,0.0012476,0.0012476,0.0012476
21,53.5534,1.00156,0.67429,1.19172,0.8558,0.76471,0.83028,0.56224,1.20397,1.10562,1.43014,0.001208,0.001208,0.001208
22,55.8154,1.05751,0.72453,1.28516,0.89298,0.98235,0.98342,0.79343,0.93958,0.70303,1.23999,0.0011684,0.0011684,0.0011684
23,58.0518,1.00809,0.76333,1.22477,0.9955,1,0.995,0.80855,0.79289,0.54394,1.14668,0.0011288,0.0011288,0.0011288
24,60.3466,0.99024,0.64,1.20585,0.98041,1,0.995,0.73919,0.89805,0.59947,1.2229,0.0010892,0.0010892,0.0010892
25,62.6669,0.8986,0.60916,1.14799,0.93735,1,0.99222,0.71798,0.90309,0.65061,1.26782,0.0010496,0.0010496,0.0010496
26,64.8282,0.97791,0.6276,1.18299,1,0.98023,0.995,0.72545,0.98863,0.72138,1.26469,0.00101,0.00101,0.00101
27,66.9617,0.90397,0.60802,1.16306,0.9349,1,0.99222,0.7461,0.91225,0.65989,1.27635,0.0009704,0.0009704,0.0009704
28,69.0858,0.89802,0.6269,1.15566,0.97533,1,0.995,0.72681,0.86503,0.65185,1.22926,0.0009308,0.0009308,0.0009308
29,71.2665,0.87933,0.57525,1.14075,1,0.99359,0.995,0.75901,0.92899,0.5898,1.29108,0.0008912,0.0008912,0.0008912
30,73.3453,0.91789,0.61231,1.17686,1,0.98941,0.995,0.75698,0.89092,0.57369,1.33673,0.0008516,0.0008516,0.0008516
31,75.4453,0.91785,0.60088,1.18639,0.99837,1,0.995,0.82838,0.69006,0.47711,1.07257,0.000812,0.000812,0.000812
32,77.6771,0.87027,0.59022,1.12624,1,0.98433,0.995,0.80765,0.70217,0.48198,1.09412,0.0007724,0.0007724,0.0007724
33,79.772,0.93794,0.57927,1.17288,0.97598,1,0.995,0.83442,0.62012,0.51214,1.05374,0.0007328,0.0007328,0.0007328
34,81.9121,0.87735,0.61244,1.16849,0.9319,1,0.94611,0.77982,0.67508,0.52831,1.0075,0.0006932,0.0006932,0.0006932
35,84.0486,0.8874,0.55405,1.14583,0.99195,1,0.995,0.87848,0.5714,0.48628,0.97889,0.0006536,0.0006536,0.0006536
36,86.1854,0.86586,0.56508,1.14756,0.96488,1,0.995,0.8369,0.6843,0.47742,1.01655,0.000614,0.000614,0.000614
37,88.3298,0.82175,0.52216,1.10297,0.98698,1,0.995,0.82668,0.70291,0.4686,1.04333,0.0005744,0.0005744,0.0005744
38,90.6965,0.80364,0.52733,1.10054,0.98357,1,0.995,0.88092,0.58497,0.478,1.02615,0.0005348,0.0005348,0.0005348
39,92.9233,0.79238,0.49733,1.09859,0.99562,1,0.995,0.86128,0.66598,0.45602,1.01555,0.0004952,0.0004952,0.0004952
40,95.1414,0.81958,0.49744,1.09737,0.99756,1,0.995,0.82879,0.74203,0.47556,1.04849,0.0004556,0.0004556,0.0004556
41,38.8631,0.67217,0.42965,1.01238,0.99994,1,0.995,0.84473,0.68271,0.45981,0.9965,0.000416,0.000416,0.000416
42,42.1223,0.66584,0.41141,1.01894,1,0.99813,0.995,0.82396,0.69249,0.4444,1.03292,0.0003764,0.0003764,0.0003764
43,45.1347,0.64812,0.39048,1.00103,0.99628,1,0.995,0.83086,0.6373,0.4103,1.03063,0.0003368,0.0003368,0.0003368
44,47.2665,0.63401,0.39487,0.97777,0.99616,1,0.995,0.85333,0.66253,0.39668,1.0476,0.0002972,0.0002972,0.0002972
45,49.5222,0.60498,0.37987,0.95763,0.99629,1,0.995,0.84069,0.65438,0.39095,1.05811,0.0002576,0.0002576,0.0002576
46,51.7832,0.61377,0.37024,0.99462,0.99655,1,0.995,0.86251,0.64244,0.3732,1.04012,0.000218,0.000218,0.000218
47,54.0804,0.58606,0.35552,0.96917,0.99649,1,0.995,0.87147,0.60121,0.37088,1.02073,0.0001784,0.0001784,0.0001784
48,56.3714,0.58936,0.35403,0.95029,0.9964,1,0.995,0.87281,0.59756,0.36066,1.01528,0.0001388,0.0001388,0.0001388
49,58.5814,0.5694,0.36054,0.92951,0.9965,1,0.995,0.86399,0.60247,0.36255,1.01364,9.92e-05,9.92e-05,9.92e-05
50,61.0256,0.57444,0.36674,0.97438,0.9965,1,0.995,0.86223,0.60679,0.35654,1.01344,5.96e-05,5.96e-05,5.96e-05
